GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
0,0,0,0,0,0,0,0,
499,512,509,513,0,0,0,0,
497,512,507,513,0,0,0,0,
497,512,507,513,0,0,0,0,
495,513,506,513,0,0,0,0,
495,514,508,515,0,0,0,0,
491,515,508,511,0,0,0,0,
489,517,509,513,0,0,0,0,
489,518,508,512,0,0,0,0,
486,518,509,513,0,0,0,0,
486,519,510,513,0,0,0,0,
486,520,508,511,0,0,0,0,
487,519,509,513,0,0,0,0,
486,519,509,512,0,0,0,0,
487,519,507,514,0,0,0,0,
489,518,510,512,0,0,0,0,
490,517,510,515,0,0,0,0,
491,515,508,512,0,0,0,0,
492,513,509,516,0,0,0,0,
495,512,508,513,0,0,0,0,
495,512,510,513,0,0,0,0,
497,512,512,513,0,0,0,0,
499,512,509,513,0,0,0,0,
499,512,508,515,0,0,0,0,
499,511,509,512,0,0,0,0,
499,512,506,512,0,0,0,0,
497,512,509,512,0,0,0,0,
497,512,507,512,0,0,0,0,
497,512,508,513,0,0,0,0,
495,512,509,512,0,0,0,0,
494,513,506,511,0,0,0,0,
491,514,508,512,0,0,0,0,
492,515,509,511,0,0,0,0,
490,517,509,511,0,0,0,0,
489,518,509,512,0,0,0,0,
490,518,506,512,0,0,0,0,
489,520,508,512,0,0,0,0,
487,519,509,514,0,0,0,0,
487,520,508,515,0,0,0,0,
489,518,510,513,0,0,0,0,
489,518,510,514,0,0,0,0,
490,517,510,516,0,0,0,0,
490,514,510,515,0,0,0,0,
491,514,512,515,0,0,0,0,
492,514,511,512,0,0,0,0,
494,513,511,513,0,0,0,0,
496,513,510,515,0,0,0,0,
497,513,508,514,0,0,0,0,
497,513,510,514,0,0,0,0,
497,512,510,513,0,0,0,0,
496,512,508,514,0,0,0,0,
496,512,508,514,0,0,0,0,
496,512,507,514,0,0,0,0,
496,512,508,513,0,0,0,0,
495,512,509,511,0,0,0,0,
494,513,506,512,0,0,0,0,
494,514,507,512,0,0,0,0,
494,515,508,513,0,0,0,0,
492,515,507,512,0,0,0,0,
491,515,508,514,0,0,0,0,
490,517,509,513,0,0,0,0,
490,518,508,514,0,0,0,0,
489,517,509,512,0,0,0,0,
490,517,508,513,0,0,0,0,
489,517,510,513,0,0,0,0,
489,517,508,511,0,0,0,0,
490,517,509,512,0,0,0,0,
491,517,509,515,0,0,0,0,
492,517,511,513,0,0,0,0,
491,515,508,513,0,0,0,0,
492,515,510,514,0,0,0,0,
494,514,508,513,0,0,0,0,
495,513,508,515,0,0,0,0,
494,512,510,513,0,0,0,0,
496,513,510,513,0,0,0,0,
496,512,509,514,0,0,0,0,
496,513,509,513,0,0,0,0,
496,513,509,513,0,0,0,0,
497,513,508,512,0,0,0,0,
496,512,508,513,0,0,0,0,
496,513,509,511,0,0,0,0,
495,513,508,514,0,0,0,0,
494,513,510,513,0,0,0,0,
492,515,509,513,0,0,0,0,
491,515,509,512,0,0,0,0,
491,515,508,512,0,0,0,0,
491,517,507,512,0,0,0,0,
490,517,510,512,0,0,0,0,
490,517,509,512,0,0,0,0,
491,517,509,513,0,0,0,0,
491,517,507,512,0,0,0,0,
490,517,511,512,0,0,0,0,
491,517,509,515,0,0,0,0,
491,515,509,512,0,0,0,0,
491,515,509,515,0,0,0,0,
494,515,508,512,0,0,0,0,
492,514,509,516,0,0,0,0,
494,514,508,513,0,0,0,0,
491,514,510,513,0,0,0,0,
494,514,511,513,0,0,0,0,
495,514,509,514,0,0,0,0,
495,513,510,513,0,0,0,0,
495,513,510,512,0,0,0,0,
496,512,510,513,0,0,0,0,
495,513,509,514,0,0,0,0,
495,513,509,511,0,0,0,0,
495,513,508,512,0,0,0,0,
494,514,510,513,0,0,0,0,
492,514,506,512,0,0,0,0,
494,514,508,514,0,0,0,0,
492,515,507,512,0,0,0,0,
492,515,508,514,0,0,0,0,
492,515,507,513,0,0,0,0,
491,515,508,513,0,0,0,0,
490,515,510,512,0,0,0,0,
491,515,510,514,0,0,0,0,
490,515,509,512,0,0,0,0,
491,515,508,514,0,0,0,0,
491,515,510,515,0,0,0,0,
491,517,510,512,0,0,0,0,
491,515,509,515,0,0,0,0,
494,515,509,512,0,0,0,0,
492,515,509,515,0,0,0,0,
494,514,509,514,0,0,0,0,
495,514,509,515,0,0,0,0,
495,513,507,515,0,0,0,0,
495,513,509,512,0,0,0,0,
495,513,510,514,0,0,0,0,
496,513,509,513,0,0,0,0,
495,513,510,512,0,0,0,0,
494,513,510,512,0,0,0,0,
495,514,508,512,0,0,0,0,
494,514,508,515,0,0,0,0,
494,514,511,514,0,0,0,0,
492,514,507,513,0,0,0,0,
492,514,508,513,0,0,0,0,
494,514,508,513,0,0,0,0,
492,514,508,514,0,0,0,0,
491,515,510,513,0,0,0,0,
492,515,508,513,0,0,0,0,
491,515,509,513,0,0,0,0,
491,515,507,514,0,0,0,0,
492,515,509,512,0,0,0,0,
492,515,508,512,0,0,0,0,
491,515,508,513,0,0,0,0,
491,515,509,513,0,0,0,0,
492,515,510,514,0,0,0,0,
492,515,511,513,0,0,0,0,
492,514,509,512,0,0,0,0,
494,514,509,513,0,0,0,0,
492,515,508,514,0,0,0,0,
492,514,510,513,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,508,513,0,0,0,0,
494,513,509,512,0,0,0,0,
