GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
0,0,0,0,0,0,0,0,
499,512,509,511,0,0,0,0,
495,512,510,513,0,0,0,0,
494,514,508,512,0,0,0,0,
490,515,508,512,0,0,0,0,
487,517,507,512,0,0,0,0,
486,517,507,510,0,0,0,0,
484,518,508,510,0,0,0,0,
482,519,507,512,0,0,0,0,
481,520,511,512,0,0,0,0,
481,522,508,512,0,0,0,0,
480,522,512,512,0,0,0,0,
481,523,510,512,0,0,0,0,
481,524,512,513,0,0,0,0,
482,525,512,512,0,0,0,0,
482,524,512,514,0,0,0,0,
484,524,510,514,0,0,0,0,
486,522,512,516,0,0,0,0,
486,518,512,516,0,0,0,0,
487,514,512,515,0,0,0,0,
490,512,512,512,0,0,0,0,
492,510,512,514,0,0,0,0,
495,507,513,512,0,0,0,0,
496,507,511,512,0,0,0,0,
500,509,510,513,0,0,0,0,
500,509,509,511,0,0,0,0,
504,509,509,514,0,0,0,0,
501,511,508,512,0,0,0,0,
501,512,509,512,0,0,0,0,
500,512,509,512,0,0,0,0,
496,513,509,511,0,0,0,0,
496,514,508,512,0,0,0,0,
492,514,507,510,0,0,0,0,
487,517,506,512,0,0,0,0,
486,517,508,512,0,0,0,0,
482,518,510,512,0,0,0,0,
482,518,510,511,0,0,0,0,
479,519,508,512,0,0,0,0,
479,519,510,512,0,0,0,0,
477,520,512,511,0,0,0,0,
479,522,510,512,0,0,0,0,
481,522,511,511,0,0,0,0,
481,522,512,512,0,0,0,0,
484,524,512,513,0,0,0,0,
486,523,513,516,0,0,0,0,
487,523,512,512,0,0,0,0,
490,519,511,517,0,0,0,0,
491,517,512,515,0,0,0,0,
492,513,511,515,0,0,0,0,
494,512,510,513,0,0,0,0,
495,509,512,514,0,0,0,0,
497,507,511,513,0,0,0,0,
497,507,511,512,0,0,0,0,
497,506,509,510,0,0,0,0,
499,507,512,509,0,0,0,0,
499,507,512,512,0,0,0,0,
499,509,510,512,0,0,0,0,
499,510,509,511,0,0,0,0,
494,512,509,512,0,0,0,0,
494,513,510,513,0,0,0,0,
490,514,510,512,0,0,0,0,
490,517,510,512,0,0,0,0,
487,517,508,511,0,0,0,0,
486,519,507,511,0,0,0,0,
485,520,510,511,0,0,0,0,
482,520,509,513,0,0,0,0,
482,522,509,512,0,0,0,0,
481,523,511,512,0,0,0,0,
481,523,511,513,0,0,0,0,
482,523,510,512,0,0,0,0,
484,523,512,514,0,0,0,0,
482,523,510,514,0,0,0,0,
485,522,512,514,0,0,0,0,
485,520,511,517,0,0,0,0,
486,517,511,513,0,0,0,0,
489,514,512,516,0,0,0,0,
490,512,511,515,0,0,0,0,
491,511,512,513,0,0,0,0,
495,511,512,513,0,0,0,0,
496,510,512,512,0,0,0,0,
497,510,510,512,0,0,0,0,
497,511,513,512,0,0,0,0,
499,511,511,512,0,0,0,0,
500,511,510,511,0,0,0,0,
499,512,511,510,0,0,0,0,
497,512,511,514,0,0,0,0,
496,513,510,512,0,0,0,0,
494,514,508,512,0,0,0,0,
492,515,510,514,0,0,0,0,
489,515,509,511,0,0,0,0,
489,517,507,512,0,0,0,0,
487,517,508,510,0,0,0,0,
485,517,510,509,0,0,0,0,
484,517,509,511,0,0,0,0,
482,518,509,512,0,0,0,0,
481,518,510,510,0,0,0,0,
481,519,511,512,0,0,0,0,
482,519,512,513,0,0,0,0,
484,519,512,512,0,0,0,0,
485,520,511,512,0,0,0,0,
485,520,511,513,0,0,0,0,
487,520,512,513,0,0,0,0,
490,519,512,513,0,0,0,0,
490,517,513,512,0,0,0,0,
492,515,511,512,0,0,0,0,
492,514,512,513,0,0,0,0,
492,512,510,512,0,0,0,0,
495,512,511,513,0,0,0,0,
495,511,511,513,0,0,0,0,
496,511,510,511,0,0,0,0,
495,511,511,512,0,0,0,0,
496,511,510,513,0,0,0,0,
496,512,510,512,0,0,0,0,
496,512,510,513,0,0,0,0,
494,513,509,513,0,0,0,0,
494,513,509,512,0,0,0,0,
492,513,509,512,0,0,0,0,
490,514,508,512,0,0,0,0,
490,515,508,510,0,0,0,0,
487,517,510,512,0,0,0,0,
486,517,509,513,0,0,0,0,
485,518,512,512,0,0,0,0,
484,518,509,513,0,0,0,0,
485,518,511,511,0,0,0,0,
484,519,508,512,0,0,0,0,
484,519,509,512,0,0,0,0,
485,519,510,512,0,0,0,0,
485,519,510,512,0,0,0,0,
486,519,510,512,0,0,0,0,
486,518,512,512,0,0,0,0,
489,517,513,512,0,0,0,0,
489,517,510,512,0,0,0,0,
492,515,511,514,0,0,0,0,
490,514,511,514,0,0,0,0,
492,513,510,516,0,0,0,0,
492,512,512,514,0,0,0,0,
494,512,510,512,0,0,0,0,
494,512,511,512,0,0,0,0,
495,512,510,513,0,0,0,0,
495,512,510,513,0,0,0,0,
494,513,509,512,0,0,0,0,
495,513,508,512,0,0,0,0,
494,513,508,512,0,0,0,0,
494,514,509,512,0,0,0,0,
492,514,509,512,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,511,512,0,0,0,0,
489,514,509,512,0,0,0,0,
486,515,508,514,0,0,0,0,
486,517,511,512,0,0,0,0,
486,517,509,512,0,0,0,0,
485,517,510,512,0,0,0,0,
485,517,511,512,0,0,0,0,
485,518,511,512,0,0,0,0,
485,518,509,512,0,0,0,0,
486,518,512,511,0,0,0,0,
487,518,511,513,0,0,0,0,
487,518,511,512,0,0,0,0,
489,517,509,513,0,0,0,0,
490,517,511,513,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,512,513,0,0,0,0,
492,514,510,514,0,0,0,0,
492,513,510,514,0,0,0,0,
492,513,511,512,0,0,0,0,
492,513,510,513,0,0,0,0,
492,512,512,512,0,0,0,0,
494,513,509,513,0,0,0,0,
492,513,510,512,0,0,0,0,
492,514,509,511,0,0,0,0,
492,513,511,513,0,0,0,0,
490,513,510,512,0,0,0,0,
490,514,510,513,0,0,0,0,
490,515,509,511,0,0,0,0,
489,514,512,513,0,0,0,0,
489,515,508,512,0,0,0,0,
487,515,509,513,0,0,0,0,
486,515,509,512,0,0,0,0,
487,515,510,512,0,0,0,0,
486,517,511,512,0,0,0,0,
486,517,511,513,0,0,0,0,
486,517,512,513,0,0,0,0,
487,518,509,514,0,0,0,0,
489,517,510,512,0,0,0,0,
489,517,509,511,0,0,0,0,
490,517,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
491,515,511,513,0,0,0,0,
491,514,512,514,0,0,0,0,
491,514,510,513,0,0,0,0,
491,513,512,513,0,0,0,0,
492,513,509,515,0,0,0,0,
491,513,509,513,0,0,0,0,
492,513,510,514,0,0,0,0,
491,514,509,512,0,0,0,0,
490,514,509,512,0,0,0,0,
492,514,510,511,0,0,0,0,
491,515,510,511,0,0,0,0,
490,515,510,513,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,509,511,0,0,0,0,
489,515,511,512,0,0,0,0,
487,515,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,512,512,0,0,0,0,
487,515,510,512,0,0,0,0,
489,515,509,512,0,0,0,0,
486,515,509,513,0,0,0,0,
487,515,508,513,0,0,0,0,
490,515,508,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,514,0,0,0,0,
490,514,510,510,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,511,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,514,509,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,512,514,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,509,513,0,0,0,0,
490,515,509,513,0,0,0,0,
491,515,512,514,0,0,0,0,
490,515,511,513,0,0,0,0,
489,514,510,513,0,0,0,0,
489,515,510,513,0,0,0,0,
490,515,509,512,0,0,0,0,
487,514,511,514,0,0,0,0,
490,515,512,513,0,0,0,0,
490,514,509,512,0,0,0,0,
487,515,510,513,0,0,0,0,
489,515,512,511,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,510,515,0,0,0,0,
490,515,510,511,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,510,514,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,512,512,0,0,0,0,
492,514,511,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,509,512,0,0,0,0,
489,515,509,512,0,0,0,0,
490,515,511,514,0,0,0,0,
489,515,510,514,0,0,0,0,
487,515,512,512,0,0,0,0,
489,515,511,512,0,0,0,0,
487,515,511,512,0,0,0,0,
490,515,511,510,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,511,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,515,511,514,0,0,0,0,
490,514,509,512,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,512,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,514,512,514,0,0,0,0,
490,514,508,512,0,0,0,0,
491,515,510,514,0,0,0,0,
490,514,510,513,0,0,0,0,
490,515,511,515,0,0,0,0,
489,515,509,512,0,0,0,0,
489,515,511,515,0,0,0,0,
489,515,509,513,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,508,513,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,512,512,0,0,0,0,
489,514,510,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,508,512,0,0,0,0,
490,514,511,512,0,0,0,0,
491,515,511,515,0,0,0,0,
490,514,510,512,0,0,0,0,
490,515,510,513,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,512,513,0,0,0,0,
490,515,511,513,0,0,0,0,
490,514,509,513,0,0,0,0,
491,515,510,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,509,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,513,0,0,0,0,
489,515,510,513,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,512,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,510,514,0,0,0,0,
489,515,511,513,0,0,0,0,
490,515,510,512,0,0,0,0,
491,515,510,514,0,0,0,0,
490,514,511,514,0,0,0,0,
490,514,511,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,514,511,513,0,0,0,0,
490,514,509,514,0,0,0,0,
490,515,511,512,0,0,0,0,
489,514,508,512,0,0,0,0,
489,515,510,512,0,0,0,0,
489,514,511,513,0,0,0,0,
490,514,509,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
490,515,510,515,0,0,0,0,
490,514,509,509,0,0,0,0,
491,515,509,512,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,509,510,0,0,0,0,
491,515,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,511,512,0,0,0,0,
489,514,512,512,0,0,0,0,
489,515,512,513,0,0,0,0,
489,515,511,515,0,0,0,0,
489,515,510,513,0,0,0,0,
487,515,510,511,0,0,0,0,
489,515,509,513,0,0,0,0,
489,517,512,512,0,0,0,0,
489,515,510,512,0,0,0,0,
489,515,512,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,511,514,0,0,0,0,
490,515,512,513,0,0,0,0,
490,515,508,513,0,0,0,0,
490,515,511,512,0,0,0,0,
490,514,509,512,0,0,0,0,
491,514,511,514,0,0,0,0,
492,513,511,512,0,0,0,0,
491,513,509,513,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,510,513,0,0,0,0,
492,514,509,512,0,0,0,0,
492,514,511,513,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,510,512,0,0,0,0,
490,514,507,513,0,0,0,0,
490,514,509,512,0,0,0,0,
489,514,510,513,0,0,0,0,
489,515,510,512,0,0,0,0,
489,514,510,512,0,0,0,0,
489,515,511,513,0,0,0,0,
487,515,510,512,0,0,0,0,
486,517,510,512,0,0,0,0,
487,517,512,512,0,0,0,0,
487,517,511,514,0,0,0,0,
489,518,511,512,0,0,0,0,
487,518,511,513,0,0,0,0,
487,518,510,512,0,0,0,0,
489,517,510,514,0,0,0,0,
490,515,511,515,0,0,0,0,
489,515,511,514,0,0,0,0,
489,514,510,514,0,0,0,0,
491,514,511,511,0,0,0,0,
491,513,510,515,0,0,0,0,
492,513,510,511,0,0,0,0,
492,513,510,511,0,0,0,0,
492,514,509,512,0,0,0,0,
492,514,511,513,0,0,0,0,
494,514,509,512,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,510,512,0,0,0,0,
491,514,513,512,0,0,0,0,
492,513,509,511,0,0,0,0,
490,514,511,511,0,0,0,0,
490,514,508,512,0,0,0,0,
489,515,509,512,0,0,0,0,
487,515,510,512,0,0,0,0,
486,515,511,511,0,0,0,0,
487,517,509,512,0,0,0,0,
486,517,510,511,0,0,0,0,
486,517,511,512,0,0,0,0,
487,517,511,512,0,0,0,0,
487,518,510,512,0,0,0,0,
487,517,510,513,0,0,0,0,
487,517,511,513,0,0,0,0,
489,517,512,514,0,0,0,0,
489,517,511,513,0,0,0,0,
489,515,510,514,0,0,0,0,
490,515,510,515,0,0,0,0,
490,514,511,513,0,0,0,0,
491,514,511,512,0,0,0,0,
492,513,512,513,0,0,0,0,
492,513,511,513,0,0,0,0,
492,514,511,512,0,0,0,0,
492,513,508,514,0,0,0,0,
494,513,511,510,0,0,0,0,
494,513,510,513,0,0,0,0,
494,513,508,511,0,0,0,0,
492,514,509,512,0,0,0,0,
491,514,512,511,0,0,0,0,
491,514,508,512,0,0,0,0,
490,514,508,510,0,0,0,0,
487,515,509,511,0,0,0,0,
487,514,511,515,0,0,0,0,
487,515,510,512,0,0,0,0,
485,517,512,512,0,0,0,0,
485,517,511,512,0,0,0,0,
486,517,511,514,0,0,0,0,
486,518,509,514,0,0,0,0,
486,518,510,513,0,0,0,0,
487,518,511,512,0,0,0,0,
487,517,511,512,0,0,0,0,
489,518,511,514,0,0,0,0,
491,517,510,512,0,0,0,0,
490,517,509,512,0,0,0,0,
491,514,512,513,0,0,0,0,
491,514,512,514,0,0,0,0,
491,513,510,514,0,0,0,0,
494,513,511,512,0,0,0,0,
492,513,511,513,0,0,0,0,
492,513,512,512,0,0,0,0,
494,513,511,512,0,0,0,0,
492,513,507,510,0,0,0,0,
491,514,511,513,0,0,0,0,
491,513,511,512,0,0,0,0,
490,514,510,512,0,0,0,0,
490,514,509,511,0,0,0,0,
489,515,509,511,0,0,0,0,
489,515,509,512,0,0,0,0,
487,515,511,512,0,0,0,0,
489,515,511,512,0,0,0,0,
489,515,510,512,0,0,0,0,
486,517,508,512,0,0,0,0,
486,517,512,512,0,0,0,0,
487,517,512,512,0,0,0,0,
487,518,510,513,0,0,0,0,
489,518,511,512,0,0,0,0,
489,518,509,512,0,0,0,0,
489,517,511,513,0,0,0,0,
489,517,511,514,0,0,0,0,
490,515,509,512,0,0,0,0,
490,514,511,513,0,0,0,0,
491,514,511,514,0,0,0,0,
490,513,512,514,0,0,0,0,
491,513,511,512,0,0,0,0,
491,514,511,512,0,0,0,0,
491,513,511,512,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,509,513,0,0,0,0,
490,514,512,511,0,0,0,0,
490,515,509,513,0,0,0,0,
491,515,510,513,0,0,0,0,
490,515,510,512,0,0,0,0,
491,515,511,512,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,510,511,0,0,0,0,
490,515,509,514,0,0,0,0,
490,514,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
489,515,509,512,0,0,0,0,
487,515,510,512,0,0,0,0,
487,515,510,512,0,0,0,0,
489,515,509,514,0,0,0,0,
490,515,512,513,0,0,0,0,
489,515,511,512,0,0,0,0,
490,517,509,512,0,0,0,0,
490,517,510,512,0,0,0,0,
491,515,511,512,0,0,0,0,
490,515,510,513,0,0,0,0,
491,514,511,511,0,0,0,0,
491,514,511,513,0,0,0,0,
489,514,512,512,0,0,0,0,
491,514,508,513,0,0,0,0,
490,514,509,514,0,0,0,0,
489,515,510,512,0,0,0,0,
487,515,513,512,0,0,0,0,
489,515,512,513,0,0,0,0,
490,515,508,512,0,0,0,0,
489,517,512,513,0,0,0,0,
490,515,512,512,0,0,0,0,
490,517,508,512,0,0,0,0,
490,515,512,512,0,0,0,0,
491,515,512,513,0,0,0,0,
490,514,511,512,0,0,0,0,
490,514,510,513,0,0,0,0,
490,514,512,515,0,0,0,0,
491,514,508,511,0,0,0,0,
491,514,511,512,0,0,0,0,
490,514,511,511,0,0,0,0,
490,514,511,511,0,0,0,0,
491,514,510,514,0,0,0,0,
491,515,511,512,0,0,0,0,
490,515,511,512,0,0,0,0,
491,515,510,512,0,0,0,0,
490,515,511,513,0,0,0,0,
490,515,510,512,0,0,0,0,
490,515,510,512,0,0,0,0,
500,506,512,514,0,0,0,0,
500,507,511,513,0,0,0,0,
501,507,508,512,0,0,0,0,
500,509,511,511,0,0,0,0,
499,509,511,512,0,0,0,0,
499,511,508,511,0,0,0,0,
497,511,507,511,0,0,0,0,
496,512,507,511,0,0,0,0,
494,512,509,512,0,0,0,0,
490,513,505,511,0,0,0,0,
486,514,507,511,0,0,0,0,
484,515,511,511,0,0,0,0,
481,518,509,512,0,0,0,0,
480,519,507,512,0,0,0,0,
480,522,511,512,0,0,0,0,
479,523,510,512,0,0,0,0,
480,524,511,511,0,0,0,0,
480,525,511,513,0,0,0,0,
481,527,510,512,0,0,0,0,
484,527,514,513,0,0,0,0,
484,525,514,513,0,0,0,0,
485,523,511,515,0,0,0,0,
486,520,507,515,0,0,0,0,
487,515,512,514,0,0,0,0,
491,512,512,515,0,0,0,0,
491,509,512,514,0,0,0,0,
494,507,512,514,0,0,0,0,
495,506,512,512,0,0,0,0,
497,506,512,512,0,0,0,0,
500,507,510,512,0,0,0,0,
500,510,512,513,0,0,0,0,
500,511,507,512,0,0,0,0,
500,512,510,511,0,0,0,0,
500,512,512,512,0,0,0,0,
497,513,510,512,0,0,0,0,
496,514,503,510,0,0,0,0,
492,515,507,510,0,0,0,0,
490,515,509,512,0,0,0,0,
487,517,511,510,0,0,0,0,
485,517,511,511,0,0,0,0,
484,517,507,513,0,0,0,0,
481,519,507,511,0,0,0,0,
480,519,510,513,0,0,0,0,
480,520,510,511,0,0,0,0,
479,522,511,513,0,0,0,0,
479,523,509,511,0,0,0,0,
480,523,509,512,0,0,0,0,
481,524,509,513,0,0,0,0,
482,523,510,513,0,0,0,0,
484,522,511,514,0,0,0,0,
487,518,514,515,0,0,0,0,
490,515,512,511,0,0,0,0,
490,512,510,515,0,0,0,0,
494,512,512,514,0,0,0,0,
495,510,506,512,0,0,0,0,
496,510,510,513,0,0,0,0,
497,509,513,512,0,0,0,0,
499,509,512,512,0,0,0,0,
500,511,508,512,0,0,0,0,
499,511,510,512,0,0,0,0,
499,512,511,512,0,0,0,0,
499,512,510,512,0,0,0,0,
496,512,509,512,0,0,0,0,
495,512,508,512,0,0,0,0,
492,513,508,509,0,0,0,0,
491,514,507,512,0,0,0,0,
487,515,503,511,0,0,0,0,
486,515,512,513,0,0,0,0,
481,517,508,512,0,0,0,0,
481,517,508,512,0,0,0,0,
482,519,511,512,0,0,0,0,
480,520,511,512,0,0,0,0,
481,520,512,513,0,0,0,0,
481,522,511,512,0,0,0,0,
481,524,512,514,0,0,0,0,
482,523,514,512,0,0,0,0,
485,523,513,512,0,0,0,0,
487,522,512,514,0,0,0,0,
489,519,510,514,0,0,0,0,
490,515,514,514,0,0,0,0,
491,513,511,513,0,0,0,0,
494,511,508,512,0,0,0,0,
495,510,510,514,0,0,0,0,
496,509,512,513,0,0,0,0,
497,509,511,514,0,0,0,0,
497,509,509,513,0,0,0,0,
497,510,512,512,0,0,0,0,
496,511,510,513,0,0,0,0,
496,512,512,512,0,0,0,0,
495,512,511,510,0,0,0,0,
494,513,508,511,0,0,0,0,
491,514,510,512,0,0,0,0,
490,515,509,513,0,0,0,0,
489,517,511,513,0,0,0,0,
487,517,509,511,0,0,0,0,
