GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
0,0,0,0,0,0,0,0,
491,515,507,513,0,0,0,0,
491,515,510,511,0,0,0,0,
491,515,507,513,0,0,0,0,
491,515,509,513,0,0,0,0,
491,515,509,513,0,0,0,0,
492,514,512,515,0,0,0,0,
492,515,507,513,0,0,0,0,
492,515,510,514,0,0,0,0,
491,514,510,512,0,0,0,0,
492,514,510,509,0,0,0,0,
492,514,510,511,0,0,0,0,
495,514,507,513,0,0,0,0,
494,514,507,513,0,0,0,0,
494,514,507,514,0,0,0,0,
494,514,511,512,0,0,0,0,
492,514,507,513,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,508,516,0,0,0,0,
494,514,509,512,0,0,0,0,
494,515,508,512,0,0,0,0,
492,514,509,513,0,0,0,0,
492,515,508,512,0,0,0,0,
492,515,508,513,0,0,0,0,
492,514,510,512,0,0,0,0,
492,514,510,514,0,0,0,0,
490,515,507,512,0,0,0,0,
491,514,508,514,0,0,0,0,
491,515,508,511,0,0,0,0,
491,515,508,514,0,0,0,0,
494,514,510,513,0,0,0,0,
492,514,510,514,0,0,0,0,
492,515,510,512,0,0,0,0,
494,515,509,516,0,0,0,0,
492,514,510,513,0,0,0,0,
494,514,511,513,0,0,0,0,
494,514,508,512,0,0,0,0,
492,514,508,513,0,0,0,0,
494,514,508,513,0,0,0,0,
492,514,509,513,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,509,512,0,0,0,0,
494,514,508,512,0,0,0,0,
492,514,507,513,0,0,0,0,
492,514,507,515,0,0,0,0,
494,514,509,514,0,0,0,0,
492,514,508,512,0,0,0,0,
491,514,510,514,0,0,0,0,
492,515,510,513,0,0,0,0,
491,514,509,512,0,0,0,0,
491,515,508,513,0,0,0,0,
491,515,507,513,0,0,0,0,
490,517,509,513,0,0,0,0,
491,517,509,514,0,0,0,0,
492,515,508,513,0,0,0,0,
492,514,510,512,0,0,0,0,
494,514,508,511,0,0,0,0,
492,514,509,513,0,0,0,0,
494,514,510,514,0,0,0,0,
495,513,510,512,0,0,0,0,
494,513,507,512,0,0,0,0,
495,513,507,511,0,0,0,0,
495,513,508,514,0,0,0,0,
495,514,509,514,0,0,0,0,
495,514,508,512,0,0,0,0,
494,514,509,514,0,0,0,0,
494,515,509,512,0,0,0,0,
492,515,507,514,0,0,0,0,
492,514,508,514,0,0,0,0,
491,515,509,513,0,0,0,0,
491,515,510,511,0,0,0,0,
490,517,509,513,0,0,0,0,
489,517,510,511,0,0,0,0,
491,517,509,514,0,0,0,0,
490,517,509,512,0,0,0,0,
491,515,510,512,0,0,0,0,
491,515,509,514,0,0,0,0,
492,515,508,512,0,0,0,0,
491,514,509,512,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,510,515,0,0,0,0,
494,514,509,512,0,0,0,0,
494,513,509,513,0,0,0,0,
495,513,510,514,0,0,0,0,
495,514,509,513,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,509,513,0,0,0,0,
494,514,509,512,0,0,0,0,
494,514,509,512,0,0,0,0,
492,515,508,515,0,0,0,0,
492,515,509,514,0,0,0,0,
491,515,510,513,0,0,0,0,
491,515,508,512,0,0,0,0,
491,515,509,512,0,0,0,0,
491,515,510,512,0,0,0,0,
491,515,509,513,0,0,0,0,
492,515,507,512,0,0,0,0,
492,515,509,513,0,0,0,0,
492,515,509,514,0,0,0,0,
491,515,508,513,0,0,0,0,
492,514,510,513,0,0,0,0,
492,515,511,514,0,0,0,0,
494,515,509,512,0,0,0,0,
492,515,508,512,0,0,0,0,
494,514,509,513,0,0,0,0,
494,514,509,512,0,0,0,0,
494,514,508,513,0,0,0,0,
494,514,509,513,0,0,0,0,
494,514,510,513,0,0,0,0,
494,514,508,514,0,0,0,0,
494,513,509,514,0,0,0,0,
494,514,509,514,0,0,0,0,
492,514,509,513,0,0,0,0,
494,514,507,514,0,0,0,0,
492,514,510,512,0,0,0,0,
494,514,508,512,0,0,0,0,
491,515,506,512,0,0,0,0,
492,515,510,512,0,0,0,0,
492,515,509,513,0,0,0,0,
492,515,510,513,0,0,0,0,
491,515,508,512,0,0,0,0,
492,515,508,511,0,0,0,0,
492,515,508,512,0,0,0,0,
492,515,506,513,0,0,0,0,
492,515,510,514,0,0,0,0,
492,515,509,513,0,0,0,0,
494,514,509,513,0,0,0,0,
492,515,508,514,0,0,0,0,
494,514,509,512,0,0,0,0,
494,514,508,513,0,0,0,0,
494,514,507,513,0,0,0,0,
494,514,509,512,0,0,0,0,
494,513,510,512,0,0,0,0,
494,514,508,512,0,0,0,0,
494,514,507,511,0,0,0,0,
492,514,508,512,0,0,0,0,
494,514,509,513,0,0,0,0,
492,514,509,512,0,0,0,0,
492,514,508,513,0,0,0,0,
492,514,507,515,0,0,0,0,
492,515,509,513,0,0,0,0,
492,515,512,512,0,0,0,0,
491,515,509,512,0,0,0,0,
494,515,511,512,0,0,0,0,
491,515,507,512,0,0,0,0,
492,515,509,512,0,0,0,0,
494,515,509,512,0,0,0,0,
492,515,511,512,0,0,0,0,
492,514,509,513,0,0,0,0,
492,514,509,512,0,0,0,0,
492,514,509,512,0,0,0,0,
494,514,508,511,0,0,0,0,
492,514,508,514,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,509,514,0,0,0,0,
492,514,508,512,0,0,0,0,
492,515,510,512,0,0,0,0,
492,515,507,515,0,0,0,0,
492,515,509,513,0,0,0,0,
492,515,509,512,0,0,0,0,
492,514,508,514,0,0,0,0,
492,515,507,513,0,0,0,0,
492,515,508,514,0,0,0,0,
492,514,510,513,0,0,0,0,
494,514,509,513,0,0,0,0,
492,515,509,512,0,0,0,0,
494,514,509,512,0,0,0,0,
492,514,510,512,0,0,0,0,
492,515,508,514,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,510,512,0,0,0,0,
492,514,509,515,0,0,0,0,
491,515,510,512,0,0,0,0,
492,514,508,512,0,0,0,0,
492,515,510,511,0,0,0,0,
492,515,509,513,0,0,0,0,
492,514,509,513,0,0,0,0,
492,514,507,513,0,0,0,0,
492,514,509,513,0,0,0,0,
492,514,509,514,0,0,0,0,
492,514,509,514,0,0,0,0,
491,514,508,514,0,0,0,0,
494,515,511,512,0,0,0,0,
492,514,510,513,0,0,0,0,
492,515,509,512,0,0,0,0,
492,514,509,514,0,0,0,0,
492,515,510,513,0,0,0,0,
494,515,510,513,0,0,0,0,
492,514,508,513,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,507,512,0,0,0,0,
492,514,510,514,0,0,0,0,
492,514,510,511,0,0,0,0,
492,514,510,512,0,0,0,0,
494,515,509,512,0,0,0,0,
492,514,509,514,0,0,0,0,
492,515,507,515,0,0,0,0,
492,515,510,515,0,0,0,0,
492,514,509,513,0,0,0,0,
492,515,507,512,0,0,0,0,
492,515,510,513,0,0,0,0,
494,515,508,514,0,0,0,0,
492,514,511,511,0,0,0,0,
492,515,510,514,0,0,0,0,
492,514,508,513,0,0,0,0,
492,514,507,514,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,509,513,0,0,0,0,
492,514,509,514,0,0,0,0,
492,514,510,512,0,0,0,0,
494,514,508,513,0,0,0,0,
492,514,508,512,0,0,0,0,
492,514,511,512,0,0,0,0,
492,515,507,514,0,0,0,0,
492,515,508,512,0,0,0,0,
492,515,509,514,0,0,0,0,
492,515,510,512,0,0,0,0,
492,515,509,514,0,0,0,0,
492,515,509,513,0,0,0,0,
492,515,511,512,0,0,0,0,
492,515,508,513,0,0,0,0,
492,515,508,512,0,0,0,0,
492,514,508,513,0,0,0,0,
492,514,508,514,0,0,0,0,
492,514,510,513,0,0,0,0,
492,515,508,513,0,0,0,0,
492,514,509,514,0,0,0,0,
492,514,507,515,0,0,0,0,
492,515,509,513,0,0,0,0,
492,514,509,512,0,0,0,0,
494,515,509,514,0,0,0,0,
492,514,508,513,0,0,0,0,
494,515,508,515,0,0,0,0,
492,514,510,511,0,0,0,0,
492,514,509,512,0,0,0,0,
492,513,509,512,0,0,0,0,
494,514,506,514,0,0,0,0,
492,515,508,514,0,0,0,0,
491,515,510,513,0,0,0,0,
492,514,507,513,0,0,0,0,
492,515,508,514,0,0,0,0,
491,514,509,513,0,0,0,0,
492,514,509,512,0,0,0,0,
492,515,510,513,0,0,0,0,
492,514,510,512,0,0,0,0,
491,515,509,511,0,0,0,0,
492,514,509,513,0,0,0,0,
492,515,512,513,0,0,0,0,
492,514,509,512,0,0,0,0,
492,514,510,513,0,0,0,0,
492,515,508,512,0,0,0,0,
494,514,509,513,0,0,0,0,
