GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
0,0,0,0,0,0,0,0,
492,514,498,526,0,0,0,0,
491,514,499,526,0,0,0,0,
491,514,500,525,0,0,0,0,
494,514,499,527,0,0,0,0,
492,514,498,525,0,0,0,0,
492,514,499,523,0,0,0,0,
492,514,498,525,0,0,0,0,
491,514,499,524,0,0,0,0,
492,514,498,527,0,0,0,0,
492,514,499,525,0,0,0,0,
492,513,500,525,0,0,0,0,
491,514,499,524,0,0,0,0,
491,514,499,524,0,0,0,0,
492,514,500,523,0,0,0,0,
491,514,501,524,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,499,525,0,0,0,0,
494,515,499,525,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,501,527,0,0,0,0,
492,514,498,522,0,0,0,0,
492,514,500,525,0,0,0,0,
492,515,499,527,0,0,0,0,
492,514,500,527,0,0,0,0,
491,514,500,525,0,0,0,0,
492,515,499,526,0,0,0,0,
492,514,501,527,0,0,0,0,
491,514,499,525,0,0,0,0,
492,514,501,527,0,0,0,0,
491,514,498,525,0,0,0,0,
492,514,500,523,0,0,0,0,
492,514,500,525,0,0,0,0,
491,514,500,526,0,0,0,0,
492,514,501,525,0,0,0,0,
492,514,501,523,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,500,524,0,0,0,0,
492,514,501,526,0,0,0,0,
492,514,500,525,0,0,0,0,
494,514,499,528,0,0,0,0,
491,514,501,526,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,500,524,0,0,0,0,
492,514,500,526,0,0,0,0,
491,514,499,526,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,501,525,0,0,0,0,
492,514,499,526,0,0,0,0,
492,515,500,526,0,0,0,0,
491,514,498,525,0,0,0,0,
492,514,499,526,0,0,0,0,
492,514,501,525,0,0,0,0,
491,514,498,525,0,0,0,0,
494,514,498,524,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,502,526,0,0,0,0,
491,514,499,527,0,0,0,0,
492,515,500,527,0,0,0,0,
491,514,500,525,0,0,0,0,
494,515,500,525,0,0,0,0,
491,514,498,525,0,0,0,0,
491,515,500,527,0,0,0,0,
492,515,500,524,0,0,0,0,
491,514,500,525,0,0,0,0,
492,514,498,525,0,0,0,0,
492,514,499,526,0,0,0,0,
491,514,498,526,0,0,0,0,
492,514,501,525,0,0,0,0,
492,514,498,526,0,0,0,0,
491,514,501,525,0,0,0,0,
492,514,500,526,0,0,0,0,
491,514,498,524,0,0,0,0,
492,514,498,524,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,500,524,0,0,0,0,
494,514,499,526,0,0,0,0,
491,514,500,522,0,0,0,0,
491,515,498,527,0,0,0,0,
491,514,499,525,0,0,0,0,
492,514,501,527,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,498,524,0,0,0,0,
492,514,498,526,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,500,525,0,0,0,0,
491,514,500,526,0,0,0,0,
492,514,498,526,0,0,0,0,
491,515,501,525,0,0,0,0,
492,514,499,526,0,0,0,0,
492,514,499,522,0,0,0,0,
491,514,497,526,0,0,0,0,
491,514,501,526,0,0,0,0,
492,514,500,526,0,0,0,0,
492,514,501,525,0,0,0,0,
492,514,499,527,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,501,527,0,0,0,0,
492,514,496,527,0,0,0,0,
492,514,500,525,0,0,0,0,
491,513,498,524,0,0,0,0,
492,514,500,524,0,0,0,0,
494,514,501,526,0,0,0,0,
491,514,497,528,0,0,0,0,
492,514,501,527,0,0,0,0,
491,514,499,525,0,0,0,0,
492,514,500,525,0,0,0,0,
494,514,500,524,0,0,0,0,
491,513,499,527,0,0,0,0,
492,514,500,525,0,0,0,0,
491,514,498,528,0,0,0,0,
491,515,500,526,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,499,526,0,0,0,0,
492,514,501,525,0,0,0,0,
492,514,499,524,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,497,524,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,500,525,0,0,0,0,
492,514,499,524,0,0,0,0,
491,514,499,523,0,0,0,0,
492,514,500,524,0,0,0,0,
492,514,500,524,0,0,0,0,
491,514,500,527,0,0,0,0,
491,514,499,526,0,0,0,0,
492,514,501,527,0,0,0,0,
491,514,499,525,0,0,0,0,
494,515,498,524,0,0,0,0,
491,514,499,525,0,0,0,0,
492,514,498,524,0,0,0,0,
494,514,501,528,0,0,0,0,
491,514,498,523,0,0,0,0,
491,514,500,525,0,0,0,0,
492,515,498,528,0,0,0,0,
492,514,501,524,0,0,0,0,
492,514,501,527,0,0,0,0,
491,514,499,525,0,0,0,0,
491,514,500,524,0,0,0,0,
492,515,499,525,0,0,0,0,
492,514,499,525,0,0,0,0,
491,514,499,523,0,0,0,0,
492,514,501,524,0,0,0,0,
492,515,500,525,0,0,0,0,
491,514,500,525,0,0,0,0,
491,514,499,524,0,0,0,0,
492,514,498,526,0,0,0,0,
491,514,499,525,0,0,0,0,
492,514,499,526,0,0,0,0,
491,514,498,527,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,499,525,0,0,0,0,
492,514,500,525,0,0,0,0,
492,514,499,525,0,0,0,0,
494,514,499,525,0,0,0,0,
491,514,499,526,0,0,0,0,
492,514,499,523,0,0,0,0,
491,514,499,525,0,0,0,0,
491,514,500,525,0,0,0,0,
491,514,498,526,0,0,0,0,
492,514,502,525,0,0,0,0,
492,515,501,525,0,0,0,0,
491,514,498,526,0,0,0,0,
492,515,500,526,0,0,0,0,
491,514,500,525,0,0,0,0,
