GyroFB,GyroRL,AccelFB,AccelRL,L_FSR_X,L_FSR_Y,R_FSR_X,R_FSR_Y,
491,514,510,513,0,0,0,0,
491,515,511,513,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,509,516,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,512,514,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,510,514,0,0,0,0,
492,514,511,515,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,509,513,0,0,0,0,
490,514,510,514,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,514,512,513,0,0,0,0,
490,514,510,512,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,509,513,0,0,0,0,
491,514,509,512,0,0,0,0,
491,514,510,514,0,0,0,0,
490,514,512,513,0,0,0,0,
491,514,509,513,0,0,0,0,
492,514,509,512,0,0,0,0,
491,514,511,513,0,0,0,0,
490,514,509,514,0,0,0,0,
491,514,509,513,0,0,0,0,
492,514,510,513,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,512,513,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,512,516,0,0,0,0,
491,514,510,513,0,0,0,0,
490,514,508,516,0,0,0,0,
491,514,509,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,515,511,512,0,0,0,0,
490,514,509,513,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,510,513,0,0,0,0,
491,515,510,513,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,507,512,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,507,514,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,508,514,0,0,0,0,
492,514,511,512,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,512,512,0,0,0,0,
491,514,509,512,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,509,512,0,0,0,0,
490,514,508,512,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,509,513,0,0,0,0,
491,514,511,512,0,0,0,0,
491,514,508,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,514,511,514,0,0,0,0,
492,514,510,510,0,0,0,0,
491,515,510,515,0,0,0,0,
491,514,508,513,0,0,0,0,
491,514,510,514,0,0,0,0,
491,514,509,512,0,0,0,0,
490,514,510,513,0,0,0,0,
490,514,512,515,0,0,0,0,
491,514,510,513,0,0,0,0,
491,514,509,512,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,510,512,0,0,0,0,
491,514,511,514,0,0,0,0,
491,515,512,513,0,0,0,0,
490,514,510,515,0,0,0,0,
491,514,511,513,0,0,0,0,
491,514,508,514,0,0,0,0,
490,514,508,513,0,0,0,0,
